Row 1: UNDP Digital Transformation Project | Deliverable 1 I Scoping Report for Malaysia
Row 2: Baseline view of the AI and DPI ecosystem in Malaysia
Row 4: # | Heading | ## | Sub-Heading | ### | Parameters
Row 5: 1 | AI and DPI Ecosystem | 1.1 | National AI Ecosystem  - Policy and strategy | 1.1.1 | National AI strategy/policy status (adopted, draft, absent)
Row 6:  |  |  |  | 1.1.2 | AI Governance frameworks and regulations
Row 7:  |  |  |  | 1.1.3 | Ethical AI principles and guidelines
Row 8:  |  |  |  | 1.1.4 | Data protection and privacy legislation 
Row 9:  |  |  |  | 1.1.5 | Sector-specific AI regulations (health, finance, education etc)
Row 10:  |  | 1.2 | National AI Ecosystem  - Implementation and Adoption | 1.2.1 | Government AI initiatives and projects (ongoing, pipeline)
Row 11:  |  |  |  | 1.2.2 | Public and private sector AI use cases by domain (Just an overview-preliminary understanding)
Row 12:  |  |  |  | 1.2.3 | Availability of AI Infrastructure (Connectivity, Compute, Cloud etc)
Row 13:  |  | 1.3 | DPI Ecosystem -DPI Stack Maturity | 1.3.1 | Digital ID: Availability of National ID systems, biometric coverage, authentication mechanisms, inte
Row 14:  |  |  |  | 1.3.2 | Digital Payments : Availability, Interoperability, financial inclusion
Row 15:  |  |  |  | 1.3.3 | Data Exchange: Availability, data sharing frameworks, consent mechanisms, interoperability standards
Row 16:  |  |  |  | 1.3.4 | Any other DPI assets 
Row 17:  |  |  |  | 1.3.5 | Service delivery: Presence of government digital services, citizen portals, service integration with
Row 18:  |  | 1.4 | DPI Ecosystem -DPI Adoption  | 1.4.1 | Digital ID - No. of people enrolled
Row 19:  |  |  |  | 1.4.2 | Digital Payments - No. of transaction per month 
Row 20:  |  |  |  | 1.4.3 | Data Exchange - No. of partners onboarded 
Row 21:  |  |  |  | 1.4.4 | Other DPI assets
Row 22:  |  |  |  | 1.4.5 | Digital inclusion gaps (geographic - Urban Rural, demographic - Gender, socioeconomic)
Row 23:  |  |  |  | 1.4.6 | User experience, satisfaction 
Row 24: 2 | Political Economy | 2.1 | Political Stability and Institutional Capacity  | 2.1.1 | National election cycle Previous and Upcoming Month and Year
Row 25:  |  |  |  | 2.1.2 | Governance structure - Centralised/Decentralised/Federal
Row 26:  |  |  |  | 2.1.3 | Political stability and continuity   World bank map includes - Voice and accountability, polictical 
Row 27:  |  |  |  | 2.1.4 | Government's digital transformation priority in the last 5 years and next decade
Row 28:  |  |  |  | 2.1.5 | Institutional capacity for policy implementation 
Row 29:  |  |  |  | 2.1.6 | Leadership/ Digital transformation champions within the cabinet, PM
Row 30:  |  |  |  | 2.1.7 | Key decision makers and influencers
Row 31:  |  |  |  | 2.1.8 | Technical expertise/ Dedicated authority/staff for digital transformation projects  DIgital readines
Row 32:  |  |  |  | 2.1.9 | Civil society engagement levels
Row 33:  |  |  |  | 2.1.10 | Overall governance and administrative culture 
Row 34: 3 | Mapping of Key Ecoosystem Actors and Initiatives | 3.1 | Government actors - National and Sub-national levels (Focus on National only) | 3.1.1 | Lead agency/ministry for digital transformation 
Row 35:  |  |  |  | 3.1.2 | AI and DPI implementation agencies (for foundational DPIs such as digital id, payments etc)
Row 36:  |  |  |  | 3.1.3 | Regulatory bodies and oversight agencies
Row 37:  |  |  |  | 3.1.4 | Any innovation lab/ government accelerators 
Row 38:  |  |  |  | 3.1.5 | Parliamentary committe on digital transformation/technology/AI and DPI
Row 39:  |  |  |  | 3.1.6 | Chief digital officer/Lead - Team - Details 
Row 40:  |  | 3.2 | Private actors  | 3.2.1 | Major tech companies operating in the country 
Row 41:  |  |  |  | 3.2.2 | AI/ML Solution providers
Row 42:  |  |  |  | 3.2.3 | DPI tech vendors
Row 43:  |  |  |  | 3.2.4 | DPGs
Row 44:  |  |  |  | 3.2.5 | Cloudeservice providers
Row 45:  |  |  |  | 3.2.6 | Telecommunication operators 
Row 46:  |  |  |  | 3.2.7 | Fintech and digital payment providers
Row 47:  |  | 3.3 | Development partners and multilaterals - Digital transformation/AI/DPI Along with details of ongoing | 3.3.1 | UN Agencies
Row 48:  |  |  |  | 3.3.2 | World Bank 
Row 49:  |  |  |  | 3.3.3 | Asian Development Bank
Row 50:  |  |  |  | 3.3.4 | Others - Bilateral development agencies, International NGOs and Foundations, Global Tech Partners
Row 51:  |  | 3.4 | Academic and research institutions | 3.4.1 | Institutions (Universities, Think Tanks etc.) working in research on AI/DPI/Digital transformation 
Row 52:  |  | 3.5 | Civil society  | 3.5.1 | Digital rights org, advocacy groups, grassroot innovation initiatives etc.
Row 53:  |  | 3.6 | Mapping of Initiatives along with the implementation agency | 3.6.1 | National AI/DPI/Digital transformation strategy (National policy/Digital framework/E-governance blue
Row 54:  |  |  |  | 3.6.2 | Flagship AI and DPI projects
Row 55:  |  |  |  | 3.6.3 | Failed or stalled initiatives
Row 56: 4 | Emerging opportunities, risks, and practical entry points | 4.1 | Opportunities | 4.1.1 | Upcoming projects, policy reforms, government mandates
Row 57:  |  |  |  | 4.1.2 | Electoral transitions?
Row 58:  |  |  |  | 4.1.3 | International commitments
Row 59:  |  |  |  | 4.1.4 | Sectoral opportunities (Health, education, agri, social protection, governance)
Row 60:  |  | 4.2 | Risks - Technical  | 4.2.1 | Infrastructure inadequacy or unreliability 
Row 61:  |  |  |  | 4.2.2 | Data availability and quality 
Row 62:  |  |  |  | 4.2.3 | System interoperability issues
Row 63:  |  |  |  | 4.2.4 | Technology lock-in and vendor dependency 
Row 64:  |  |  |  | 4.2.5 | Limitations in scalability of the project
Row 65:  |  |  |  | 4.2.6 | Issues in financial sustainability 
Row 66:  |  | 4.3 | Risks - Governance and Institutional  | 4.3.1 | Weak regulatory frameworks
